--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 0  1  2   3   4    5    6    7     8     9 | 0  1  3   6  10   15   21   28    36    45 | 0  1  4  10  20   35   56   84   120   165 | 0  1  5  15  35   70  126  210   330   495 | 0  1  6  21  56  126  252  462   792  1287 |
 1  1  1   1   1    1    1    1     1     1 | 1  2  3   4   5    6    7    8     9    10 | 1  3  6  10  15   21   28   36    45    55 | 1  4 10  20  35   56   84  120   165   220 | 1  5 15  35  70  126  210  330   495   715 |
 1  2  3   4   5    6    7    8     9    10 | 1  3  6  10  15   21   28   36    45    55 | 1  4 10  20  35   56   84  120   165   220 | 1  5 15  35  70  126  210  330   495   715 | 1  6 21  56 126  252  462  792  1287  2002 |
 1  3  5   7   9   11   13   15    17    19 | 1  4  9  16  25   36   49   64    81   100 | 1  5 14  30  55   91  140  204   285   385 | 1  6 20  50 105  196  336  540   825  1210 | 1  7 27  77 182  378  714 1254  2079  3289 |
 1  4  7  10  13   16   19   22    25    28 | 1  5 12  22  35   51   70   92   117   145 | 1  6 18  40  75  126  196  288   405   550 | 1  7 25  65 140  266  462  750  1155  1705 | 1  8 33  98 238  504  966 1716  2871  4576 |
 1  5  9  13  17   21   25   29    33    37 | 1  6 15  28  45   66   91  120   153   190 | 1  7 22  50  95  161  252  372   525   715 | 1  8 30  80 175  336  588  960  1485  2200 | 1  9 39 119 294  630 1218 2178  3663  5863 |
 1  6 11  16  21   26   31   36    41    46 | 1  7 18  34  55   81  112  148   189   235 | 1  8 26  60 115  196  308  456   645   880 | 1  9 35  95 210  406  714 1170  1815  2695 | 1 10 45 140 350  756 1470 2640  4455  7150 |
 1  7 13  19  25   31   37   43    49    55 | 1  8 21  40  65   96  133  176   225   280 | 1  9 30  70 135  231  364  540   765  1045 | 1 10 40 110 245  476  840 1380  2145  3190 | 1 11 51 161 406  882 1722 3102  5247  8437 |
 1  8 15  22  29   36   43   50    57    64 | 1  9 24  46  75  111  154  204   261   325 | 1 10 34  80 155  266  420  624   885  1210 | 1 11 45 125 280  546  966 1590  2475  3685 | 1 12 57 182 462 1008 1974 3564  6039  9724 |
 1  9 17  25  33   41   49   57    65    73 | 1 10 27  52  85  126  175  232   297   370 | 1 11 38  90 175  301  476  708  1005  1375 | 1 12 50 140 315  616 1092 1800  2805  4180 | 1 13 63 203 518 1134 2226 4026  6831 11011 |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 0  1  3   6  10   15   21   28    36    45 | 0  1  4  10  20   35   56   84   120   165 | 0  1  5  15  35   70  126  210   330   495 | 0  1  6  21  56  126  252  462   792  1287 | 0  1  7  28  84  210  462  924  1716  3003 |
 1  1  1   1   1    1    1    1     1     1 | 1  2  3   4   5    6    7    8     9    10 | 1  3  6  10  15   21   28   36    45    55 | 1  4 10  20  35   56   84  120   165   220 | 1  5 15  35  70  126  210  330   495   715 |
 1  2  4   7  11   16   22   29    37    46 | 1  3  7  14  25   41   63   92   129   175 | 1  4 11  25  50   91  154  246   375   550 | 1  5 16  41  91  182  336  582   957  1507 | 1  6 22  63 154  336  672 1254  2211  3718 |
 1  3  7  13  21   31   43   57    73    91 | 1  4 11  24  45   76  119  176   249   340 | 1  5 16  40  85  161  280  456   705  1045 | 1  6 22  62 147  308  588 1044  1749  2794 | 1  7 29  91 238  546 1134 2178  3927  6721 |
 1  4 10  19  31   46   64   85   109   136 | 1  5 15  34  65  111  175  260   369   505 | 1  6 21  55 120  231  406  666  1035  1540 | 1  7 28  83 203  434  840 1506  2541  4081 | 1  8 36 119 322  756 1596 3102  5643  9724 |
 1  5 13  25  41   61   85  113   145   181 | 1  6 19  44  85  146  231  344   489   670 | 1  7 26  70 155  301  532  876  1365  2035 | 1  8 34 104 259  560 1092 1968  3333  5368 | 1  9 43 147 406  966 2058 4026  7359 12727 |
